Timestamp,FrameTime,FPS,Difficulty
1.621,6.439,0.0,1
2.122,3.392,206.3,1
2.626,5.230,206.3,1
3.127,6.596,162.2,1
3.629,6.683,162.2,1
4.130,7.085,166.5,1
4.636,6.299,166.5,1
5.140,5.936,137.4,1
5.644,7.382,137.4,1
6.147,9.488,137.5,1
6.650,10.887,137.5,1
7.150,6.670,148.2,1
7.657,7.289,148.2,1
8.161,5.955,155.5,1
8.665,4.332,155.5,1
9.171,7.092,139.6,1
9.675,7.961,139.6,1
10.176,9.130,132.2,1
10.679,7.895,132.2,1
11.185,7.570,159.8,1
11.686,6.651,159.8,1
12.187,4.053,188.9,1
12.689,4.371,188.9,1
13.190,4.128,249.6,1
13.694,20.019,249.6,0
14.198,10.679,168.2,0
14.704,6.248,168.2,0
15.210,9.606,150.0,0
15.714,5.030,150.0,0
16.220,6.271,157.4,0
16.720,6.371,157.4,0
17.224,6.826,154.4,0
17.724,6.617,154.4,0
18.228,8.463,150.6,0
18.736,10.302,150.6,0
19.239,5.928,117.6,0
19.740,11.044,117.6,0
20.244,5.867,148.9,0
20.748,6.042,148.9,0
21.252,6.306,158.3,0
21.758,8.369,158.3,0
22.264,6.762,154.5,0
22.767,6.809,154.5,0
23.274,6.693,140.6,0
23.775,6.916,140.6,0
24.281,6.800,127.8,0
24.788,7.158,127.8,0
25.293,9.775,161.6,0
25.794,6.500,161.6,0
26.301,7.589,153.7,0
26.802,7.065,153.7,0
27.305,6.271,139.7,0
27.820,23.779,139.7,0
28.324,6.899,120.4,0
28.828,6.760,120.4,0
29.331,7.421,151.4,0
29.835,6.754,151.4,0
30.336,7.479,150.7,0
30.841,6.420,150.7,0
31.343,10.422,146.9,0
31.846,7.488,146.9,0
32.352,6.443,122.2,0
32.856,5.974,122.2,0
33.362,6.580,163.9,0
33.865,6.809,163.9,0
34.371,8.259,160.2,0
34.877,6.721,160.2,0
35.379,6.577,158.9,0
35.886,11.959,158.9,0
36.391,7.557,136.8,0
36.893,3.876,136.8,0
37.396,5.726,133.2,0
37.899,3.101,133.2,0
38.401,2.247,220.9,0
38.901,2.739,220.9,0
39.406,5.569,262.7,0
39.907,5.627,262.7,2
40.412,6.588,231.8,2
40.919,9.464,231.8,2
41.427,11.517,121.7,2
41.935,8.305,121.7,2
42.439,7.080,141.3,2
42.947,7.221,141.3,2
43.452,9.338,158.8,2
43.954,6.348,158.8,2
44.456,4.669,158.6,2
44.962,6.367,158.6,2
45.467,6.542,144.8,2
45.975,11.024,144.8,2
46.483,7.668,118.8,2
46.988,6.401,118.8,2
47.489,7.988,133.4,2
47.995,11.841,133.4,2
48.496,10.872,135.7,2
48.998,4.589,135.7,2
49.500,4.112,198.3,2
50.001,10.571,198.3,2
50.503,4.601,311.1,2
51.007,4.559,311.1,2
51.508,3.532,346.7,2
